Time,Humidity,Temprature,HI,Lux
16:29,78.2,26.2,79.16,27.97
16:30,76.9,26.1,78.98,27.73
16:31,76.6,26.0,78.8,27.54
16:32,76.6,26.1,78.98,27.71
16:33,77.8,26.0,78.8,27.58
16:34,78.4,26.0,78.8,27.61
16:35,79.5,26.1,78.98,27.84
16:36,79.8,26.2,79.16,28.05
16:37,78.5,26.2,79.16,27.98
16:38,76.0,26.1,78.98,27.69
16:39,75.0,26.0,78.8,27.48
16:40,76.3,25.9,78.62,27.35
16:41,77.5,26.0,78.8,27.57
16:42,78.7,26.0,78.8,27.62
16:43,79.5,26.0,78.8,27.65
16:44,79.5,26.0,78.8,27.65
16:45,78.5,26.1,78.98,27.8
16:47,75.8,26.1,78.98,27.68
16:48,75.8,26.0,78.8,27.51
16:49,76.3,26.1,78.98,27.7
16:50,77.1,26.1,78.98,27.74
16:51,77.8,26.2,79.16,27.95
16:52,79.1,26.3,79.34,28.21
16:53,78.5,26.2,79.16,27.98
16:54,77.4,26.3,79.34,28.12
16:56,76.7,26.2,79.16,27.9
16:57,77.5,26.2,79.16,27.94
16:58,78.6,26.2,79.16,27.99
16:59,79.5,26.3,79.34,28.23
17:00,78.9,26.3,79.34,28.2
17:01,78.4,26.2,79.16,27.98
17:02,77.4,26.3,79.34,28.12
17:03,77.1,26.2,79.16,27.92
17:04,77.3,26.2,79.16,27.93
17:05,78.4,26.3,79.34,28.17
17:06,78.8,26.2,79.16,28.0
17:07,77.0,26.2,79.16,27.91
17:08,75.3,26.3,79.34,28.01
17:09,75.4,26.2,79.16,27.84
17:10,76.6,26.2,79.16,27.89
17:11,77.6,26.2,79.16,27.94
17:12,78.9,26.2,79.16,28.0
17:13,77.9,26.3,79.34,28.14
17:14,77.1,26.2,79.16,27.92
17:15,75.3,26.2,79.16,27.83
17:16,75.1,26.2,79.16,27.82
17:17,76.1,26.2,79.16,27.87
17:18,77.5,26.1,78.98,27.75
17:19,78.7,26.2,79.16,27.99
17:20,77.5,26.2,79.16,27.94
17:21,76.1,26.2,79.16,27.87
17:22,75.1,26.2,79.16,27.82
17:23,74.6,26.2,79.16,27.8
17:24,75.8,26.2,79.16,27.86
17:25,77.4,26.2,79.16,27.93
