Time,Humidity,Temprature,HI,Lux
00:00,65.1,26.8,28.17,17.0
00:05,63.1,26.7,27.9,16.0
00:10,64.5,26.9,28.27,16.0
00:15,65.5,27.0,28.49,17.0
00:20,65.2,27.2,28.77,17.0
00:25,64.6,27.0,28.42,17.0
00:30,65.5,26.9,28.35,16.0
00:35,65.6,26.9,28.35,16.0
00:40,66.6,27.0,28.58,16.0
00:45,67.2,27.0,28.63,17.0
00:50,66.7,26.9,28.44,17.0
00:55,66.3,27.1,28.71,17.0
01:00,66.0,27.2,28.84,17.0
01:05,66.1,27.3,29.0,17.0
01:10,65.0,27.2,28.75,17.0
01:15,65.8,27.2,28.82,17.0
01:21,66.5,27.3,29.04,17.0
01:26,65.5,27.2,28.79,16.0
01:31,64.9,27.1,28.59,16.0
01:36,65.3,27.3,28.93,17.0
01:41,66.6,27.3,29.05,16.0
01:46,65.3,27.3,28.93,16.0
01:51,64.5,27.3,28.86,16.0
01:56,65.1,27.2,28.76,17.0
02:01,65.4,27.4,29.09,17.0
02:06,64.8,27.2,28.73,16.0
02:11,65.5,27.4,29.1,16.0
02:16,64.9,27.3,28.89,16.0
02:21,65.4,27.4,29.09,16.0
02:26,65.2,27.4,29.08,17.0
02:31,65.2,27.5,29.23,17.0
02:36,65.5,27.3,28.95,16.0
02:41,64.9,27.4,29.05,16.0
02:46,65.2,27.3,28.92,16.0
02:51,64.8,27.4,29.04,16.0
02:56,65.2,27.4,29.08,16.0
03:01,65.3,27.3,28.93,16.0
03:06,65.6,27.4,29.11,16.0
03:11,65.1,27.5,29.22,16.0
03:16,65.4,27.5,29.25,16.0
03:21,66.0,27.7,29.64,15.0
03:26,66.4,27.8,29.86,16.0
03:31,66.1,27.7,29.65,15.0
03:36,66.4,27.6,29.52,16.0
03:41,65.2,27.3,28.92,16.0
03:46,65.2,27.4,29.08,16.0
03:51,64.9,27.3,28.89,16.0
03:56,64.7,27.6,29.34,16.0
04:01,64.8,27.4,29.04,16.0
04:06,64.6,27.5,29.17,16.0
04:11,64.9,27.3,28.89,16.0
04:16,65.2,27.4,29.08,16.0
04:21,65.3,27.5,29.24,15.0
04:26,66.0,27.6,29.48,16.0
04:31,64.7,27.5,29.18,16.0
04:36,64.6,27.5,29.17,16.0
04:41,65.7,27.5,29.28,15.0
04:46,65.1,27.3,28.91,16.0
04:51,65.7,27.3,28.97,16.0
04:56,65.9,27.5,29.3,16.0
05:01,65.8,27.4,29.13,16.0
05:06,65.5,27.4,29.1,16.0
05:11,65.6,27.5,29.27,15.0
05:16,65.7,27.3,28.97,16.0
05:21,65.6,27.5,29.27,16.0
05:26,65.4,27.3,28.94,16.0
05:31,65.7,27.5,29.28,16.0
05:36,65.4,27.3,28.94,15.0
05:41,66.9,27.5,29.4,16.0
05:46,65.7,27.4,29.12,16.0
05:51,65.1,27.3,28.91,15.0
05:56,64.8,27.4,29.04,16.0
06:01,64.8,27.2,28.73,16.0
06:06,65.3,27.5,29.24,16.0
06:11,65.0,27.3,28.9,15.0
06:16,64.4,27.4,29.0,15.0
06:21,65.5,27.4,29.1,16.0
06:26,66.3,27.6,29.51,16.0
