,Humitdity,Temp,Heat index,Lux
0,70.1,26.1,78.98,27.44
1,69.8,26.1,78.98,27.43
2,70.4,26.0,78.8,27.31
3,71.4,26.0,78.8,27.35
4,72.1,26.0,78.8,27.37
5,72.4,26.1,78.98,27.54
6,72.7,26.1,78.98,27.55
7,73.1,26.3,79.34,27.89
8,72.2,26.3,79.34,27.85
9,71.4,26.3,79.34,27.81
10,70.7,26.3,79.34,27.77
11,70.4,26.4,79.52,27.91
12,70.1,26.3,79.34,27.74
13,69.7,26.3,79.34,27.72
14,69.1,26.3,79.34,27.69
15,68.7,26.3,79.34,27.67
16,68.5,26.2,79.16,27.52
17,68.7,26.2,79.16,27.53
18,68.8,26.1,78.98,27.39
19,68.7,26.1,78.98,27.39
20,68.1,26.1,78.98,27.36
21,67.8,26.1,78.98,27.35
22,67.0,26.1,78.98,27.32
